unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769954280,2026-02-01T13:58:00.0000000Z,BTC-USDT,78294,78329.8,78253,78329.8,3.90886314,306180.467983572
1769954340,2026-02-01T13:59:00.0000000Z,BTC-USDT,78329.9,78365.1,78310.8,78327,10.54981555,826335.40258485
1769954400,2026-02-01T14:00:00.0000000Z,BTC-USDT,78327.1,78327.1,78250,78273.9,3.96359701,310246.196001039
1769954460,2026-02-01T14:01:00.0000000Z,BTC-USDT,78275,78275,78196.1,78203.7,2.32781452,182043.708377724
1769954520,2026-02-01T14:02:00.0000000Z,BTC-USDT,78203.6,78244,78190.1,78232,1.30543725,102126.96694200
1769954580,2026-02-01T14:03:00.0000000Z,BTC-USDT,78232.1,78260.1,78158,78241.1,11.16254861,873370.082049871
1769954640,2026-02-01T14:04:00.0000000Z,BTC-USDT,78241.1,78268.5,78228.9,78234,1.32611034,103746.91633956
1769954700,2026-02-01T14:05:00.0000000Z,BTC-USDT,78234.1,78249.7,78227.1,78227.2,1.10885481,86742.606992832
1769954760,2026-02-01T14:06:00.0000000Z,BTC-USDT,78227.1,78337.9,78215,78337.9,3.47801328,272460.256527312
1769954820,2026-02-01T14:07:00.0000000Z,BTC-USDT,78338,78447.1,78338,78393.1,1.96595249,154117.110143819
1769954880,2026-02-01T14:08:00.0000000Z,BTC-USDT,78393.1,78427.5,78331.5,78331.5,1.42295737,111462.385228155
1769954940,2026-02-01T14:09:00.0000000Z,BTC-USDT,78331,78331,78297.7,78300.1,0.70525631,55221.639598631
1769955000,2026-02-01T14:10:00.0000000Z,BTC-USDT,78300.1,78300.1,78116,78140,5.23835617,409325.15112380
1769955060,2026-02-01T14:11:00.0000000Z,BTC-USDT,78140,78184,78116.5,78152.1,3.68780207,288209.476154847
1769955120,2026-02-01T14:12:00.0000000Z,BTC-USDT,78152.1,78215,78144.1,78215,1.5650761,122412.4271615
1769955180,2026-02-01T14:13:00.0000000Z,BTC-USDT,78207.1,78231.5,78182.2,78231.5,3.62950919,283941.948197485
1769955240,2026-02-01T14:14:00.0000000Z,BTC-USDT,78231.5,78251.1,78170.4,78190.4,6.61294695,517068.967199280
1769955300,2026-02-01T14:15:00.0000000Z,BTC-USDT,78190.4,78227.1,78181,78223.9,4.60988494,360603.178558066
1769955360,2026-02-01T14:16:00.0000000Z,BTC-USDT,78214,78214,78136.5,78153.8,5.88590423,460005.782010574
1769955420,2026-02-01T14:17:00.0000000Z,BTC-USDT,78154,78215.7,78073.7,78078.9,5.71516487,446233.786368243
1769955480,2026-02-01T14:18:00.0000000Z,BTC-USDT,78076.4,78100.9,78050,78051.9,3.09759772,241773.387481668
1769955540,2026-02-01T14:19:00.0000000Z,BTC-USDT,78052,78098,78050,78098,3.86458686,301816.50459228
1769955600,2026-02-01T14:20:00.0000000Z,BTC-USDT,78094,78129.9,78062.1,78064.1,2.62229676,204707.236502316
